,comorb_level,rr_config,dataset_type,model,roc_auc,pr_auc,accuracy
86,0.6,geno_10_mt_5,mt,logit,0.563939098477462,0.5480438808284345,0.5475
87,0.6,geno_10_mt_5,mt,logit,0.5938648466211656,0.5850824085362254,0.565
88,0.6,geno_10_mt_5,mt,logit,0.5720393009825246,0.5631534031310821,0.565
89,0.6,geno_10_mt_5,mt,logit,0.5453386334658367,0.5401695678644562,0.5325
90,0.6,geno_10_mt_5,mt,logit,0.6046401160029,0.6077310514854674,0.555
91,0.6,geno_10_mt_5,mt,logit,0.5468136703417585,0.5535840140816941,0.5275
92,0.6,geno_10_mt_5,mt,logit,0.6007900197504938,0.5868001903801114,0.575
93,0.6,geno_10_mt_5,mt,logit,0.5407885197129928,0.5509407297552864,0.535
94,0.6,geno_10_mt_5,mt,logit,0.5354883872096803,0.571179587094576,0.5275
95,0.6,geno_10_mt_5,mt,logit,0.6121403035075877,0.5867088057458749,0.59
96,0.6,geno_10_mt_5,mt,logit,0.5560389009725244,0.543218726787638,0.535
97,0.6,geno_10_mt_5,mt,logit,0.5421385534638365,0.5456494256724851,0.54
98,0.6,geno_10_mt_5,mt,logit,0.579489487237181,0.5602334402465826,0.5775
99,0.6,geno_10_mt_5,mt,logit,0.5534138353458837,0.5229503131887424,0.5275
100,0.6,geno_10_mt_5,var,logit,0.5530638265956649,0.5393722958140751,0.5475
101,0.6,geno_10_mt_5,var,logit,0.5718392959823996,0.5779471013269827,0.525
102,0.6,geno_10_mt_5,var,logit,0.5290257256431411,0.529928747027706,0.5225
103,0.6,geno_10_mt_5,var,logit,0.555526388159704,0.5375516709276709,0.5525
104,0.6,geno_10_mt_5,var,logit,0.5821520538013449,0.5678321760331565,0.5725
105,0.6,geno_10_mt_5,var,logit,0.6403410085252131,0.6438955938758266,0.5875
106,0.6,geno_10_mt_5,var,logit,0.5985149628740719,0.617087009448983,0.5775
107,0.6,geno_10_mt_5,var,logit,0.6313532838320959,0.6195295457864609,0.6025
108,0.6,geno_10_mt_5,var,logit,0.5878021950548764,0.5766411253909883,0.5675
109,0.6,geno_10_mt_5,var,logit,0.5981899547488687,0.6174598926236318,0.595
110,0.6,geno_10_mt_5,var,logit,0.5962524063101577,0.5746885084984403,0.5975
111,0.6,geno_10_mt_5,var,logit,0.5752518812970324,0.551583365292472,0.555
112,0.6,geno_10_mt_5,var,logit,0.5943273581839547,0.5890843156383196,0.5975
113,0.6,geno_10_mt_5,var,logit,0.6157528938223455,0.6273785937096069,0.5775
114,0.6,geno_10_mt_5,var,logit,0.5799019975499387,0.5510927556611347,0.55
115,0.6,geno_10_mt_5,var,logit,0.6105902647566188,0.6021087783578872,0.5825
116,0.6,geno_10_mt_5,var,logit,0.6473911847796195,0.6420228888352171,0.6175
117,0.6,geno_10_mt_5,var,logit,0.6139528488212205,0.5938931944479369,0.6025
118,0.6,geno_10_mt_5,var,logit,0.5700892522313059,0.5968321647506405,0.5525
119,0.6,geno_10_mt_5,var,logit,0.5539888497212431,0.5590160134234242,0.545
120,0.6,geno_10_mt_5,var,logit,0.6253781344533613,0.6059017708404468,0.6
121,0.6,geno_10_mt_5,var,logit,0.5894272356808921,0.5892622021211535,0.5925
122,0.6,geno_10_mt_5,var,logit,0.632078301957549,0.6004492254482516,0.5975
123,0.6,geno_10_mt_5,var,logit,0.5872021800545013,0.557386603619119,0.58
124,0.6,geno_10_mt_5,var,logit,0.5952523813095327,0.5876648450731106,0.545
125,0.6,geno_10_mt_5,var,logit,0.5862771569289232,0.5511769570277565,0.54
126,0.6,geno_10_mt_5,var,logit,0.6008525213130328,0.6067828258631724,0.5575
127,0.6,geno_10_mt_5,var,logit,0.5964524113102827,0.5895329159714964,0.57
128,0.6,geno_10_mt_5,var,logit,0.6296407410185254,0.6337843810826294,0.5975
129,0.6,geno_10_mt_5,var,logit,0.6196904922623065,0.5786093216214846,0.5925
