AVG	SEARCHED
12.75	_EPS_0.012_Samp_89
12.5	_EPS_0.012_Samp_91
12.5	_EPS_0.012_Samp_93
12.5	_EPS_0.012_Samp_95
12.5	_EPS_0.012_Samp_97
12.5	_EPS_0.012_Samp_99
12.25	_EPS_0.012_Samp_101
12.25	_EPS_0.012_Samp_103
12.0	_EPS_0.012_Samp_105
12.0	_EPS_0.012_Samp_107
12.0	_EPS_0.012_Samp_109
12.0	_EPS_0.012_Samp_111
11.75	_EPS_0.012_Samp_113
11.5	_EPS_0.012_Samp_115
11.5	_EPS_0.012_Samp_117
11.25	_EPS_0.012_Samp_119
11.0	_EPS_0.012_Samp_121
11.0	_EPS_0.012_Samp_123
11.0	_EPS_0.012_Samp_125
11.0	_EPS_0.012_Samp_127
11.25	_EPS_0.012_Samp_129
11.0	_EPS_0.012_Samp_131
11.0	_EPS_0.012_Samp_133
10.75	_EPS_0.012_Samp_135
10.5	_EPS_0.012_Samp_137
10.5	_EPS_0.012_Samp_139
10.5	_EPS_0.012_Samp_141
10.5	_EPS_0.012_Samp_143
10.5	_EPS_0.012_Samp_145
10.25	_EPS_0.012_Samp_147
10.0	_EPS_0.012_Samp_149
10.0	_EPS_0.012_Samp_151
9.75	_EPS_0.012_Samp_153
9.75	_EPS_0.012_Samp_155
9.75	_EPS_0.012_Samp_157
9.25	_EPS_0.012_Samp_159
9.25	_EPS_0.012_Samp_161
42.166666666666664	_EPS_0.014_Samp_3
30.25	_EPS_0.014_Samp_5
24.75	_EPS_0.014_Samp_7
21.333333333333332	_EPS_0.014_Samp_9
19.291666666666668	_EPS_0.014_Samp_11
16.958333333333332	_EPS_0.014_Samp_13
15.291666666666666	_EPS_0.014_Samp_15
39.25	_EPS_0.014_Samp_17
34.5	_EPS_0.014_Samp_19
32.5	_EPS_0.014_Samp_21
31.25	_EPS_0.014_Samp_23
29.5	_EPS_0.014_Samp_25
28.25	_EPS_0.014_Samp_27
27.5	_EPS_0.014_Samp_29
25.25	_EPS_0.014_Samp_31
24.5	_EPS_0.014_Samp_33
23.75	_EPS_0.014_Samp_35
23.0	_EPS_0.014_Samp_37
20.75	_EPS_0.014_Samp_39
20.0	_EPS_0.014_Samp_41
19.5	_EPS_0.014_Samp_43
19.0	_EPS_0.014_Samp_45
18.75	_EPS_0.014_Samp_47
17.75	_EPS_0.014_Samp_49
17.25	_EPS_0.014_Samp_51
16.75	_EPS_0.014_Samp_53
16.5	_EPS_0.014_Samp_55
15.75	_EPS_0.014_Samp_57
15.75	_EPS_0.014_Samp_59
15.75	_EPS_0.014_Samp_61
15.5	_EPS_0.014_Samp_63
15.0	_EPS_0.014_Samp_65
15.0	_EPS_0.014_Samp_67
14.5	_EPS_0.014_Samp_69
14.25	_EPS_0.014_Samp_71
14.25	_EPS_0.014_Samp_73
14.0	_EPS_0.014_Samp_75
13.75	_EPS_0.014_Samp_77
13.75	_EPS_0.014_Samp_79
13.75	_EPS_0.014_Samp_81
13.75	_EPS_0.014_Samp_83
13.25	_EPS_0.014_Samp_85
12.75	_EPS_0.014_Samp_87
12.5	_EPS_0.014_Samp_89
12.25	_EPS_0.014_Samp_91
12.25	_EPS_0.014_Samp_93
12.25	_EPS_0.014_Samp_95
12.25	_EPS_0.014_Samp_97
12.25	_EPS_0.014_Samp_99
12.0	_EPS_0.014_Samp_101
12.0	_EPS_0.014_Samp_103
12.0	_EPS_0.014_Samp_105
12.0	_EPS_0.014_Samp_107
12.0	_EPS_0.014_Samp_109
12.0	_EPS_0.014_Samp_111
12.0	_EPS_0.014_Samp_113
11.5	_EPS_0.014_Samp_115
11.5	_EPS_0.014_Samp_117
11.25	_EPS_0.014_Samp_119
11.0	_EPS_0.014_Samp_121
10.75	_EPS_0.014_Samp_123
10.75	_EPS_0.014_Samp_125
10.75	_EPS_0.014_Samp_127
10.75	_EPS_0.014_Samp_129
10.75	_EPS_0.014_Samp_131
10.75	_EPS_0.014_Samp_133
10.5	_EPS_0.014_Samp_135
10.5	_EPS_0.014_Samp_137
10.75	_EPS_0.014_Samp_139
10.5	_EPS_0.014_Samp_141
10.5	_EPS_0.014_Samp_143
10.5	_EPS_0.014_Samp_145
10.5	_EPS_0.014_Samp_147
10.5	_EPS_0.014_Samp_149
10.25	_EPS_0.014_Samp_151
9.75	_EPS_0.014_Samp_153
